ReservationID,PassengerID,FlightNo,SourceAirport,DestinationAirport,BookingDate,TravelDate,SeatNo,Fare,PaymentMode
1,796,6E737,BLR,CCU,2024-02-17,2024-03-12,9D,2967,UPI
2,723,6E274,CCU,AMD,2022-08-06,2022-08-23,26F,5474,Credit Card
3,906,6E478,PNQ,GOI,2023-08-26,2023-09-17,30B,5101,Debit Card
4,131,6E896,CCU,BOM,2022-04-27,2022-05-08,17A,4556,UPI
5,93,6E976,CCU,HYD,2023-02-17,2023-03-06,3C,3109,Net Banking
6,90,6E677,DEL,PNQ,2022-05-19,2022-06-16,21B,6895,Wallet
7,971,6E466,BLR,GOI,2023-02-12,2023-02-28,2E,7192,Debit Card
8,223,6E524,DEL,BOM,2022-10-13,2022-10-27,13C,9555,Credit Card
9,358,6E866,PNQ,COK,2022-07-03,2022-07-30,25C,4605,UPI
10,543,6E612,CCU,HYD,2023-11-27,2023-12-19,12D,4557,Debit Card
11,518,6E453,DEL,BOM,2023-11-27,2023-12-03,8A,7115,UPI
12,246,6E781,PNQ,AMD,2024-06-17,2024-06-27,12C,5848,UPI
13,895,6E300,MAA,HYD,2024-12-30,2025-01-14,9E,8043,Credit Card
14,166,6E652,BLR,COK,2022-07-08,2022-07-16,13A,2884,Net Banking
15,680,6E191,PNQ,HYD,2023-10-31,2023-11-03,16E,10438,UPI
16,929,6E338,DEL,MAA,2023-09-10,2023-09-12,8F,3507,UPI
17,889,6E314,DEL,CCU,2024-06-29,2024-07-28,14A,7089,Credit Card
18,324,6E683,DEL,COK,2022-02-17,2022-02-21,20B,11795,UPI
19,11,6E942,PNQ,AMD,2023-02-26,2023-03-25,21E,4651,Credit Card
20,797,6E779,BLR,HYD,2024-09-01,2024-09-25,27A,5233,Wallet
21,774,6E634,CCU,BOM,2023-04-05,2023-04-15,16A,6989,UPI
22,329,6E689,AMD,PNQ,2023-01-21,2023-02-12,13A,7572,Net Banking
23,29,6E220,CCU,COK,2023-05-20,2023-06-02,11E,11235,UPI
24,606,6E430,DEL,HYD,2023-12-04,2023-12-30,12A,6998,Net Banking
25,720,6E868,DEL,HYD,2024-04-17,2024-05-04,1E,6201,Debit Card
26,354,6E486,BLR,CCU,2022-02-26,2022-03-11,21C,5795,Net Banking
27,309,6E521,COK,CCU,2022-11-29,2022-12-09,2F,4745,Wallet
28,404,6E549,PNQ,GOI,2023-02-11,2023-02-19,4E,3264,Wallet
29,752,6E378,BLR,DEL,2023-05-07,2023-05-16,10F,9914,Credit Card
30,596,6E817,CCU,GOI,2023-05-31,2023-06-07,22B,7523,Debit Card
31,728,6E559,DEL,GOI,2023-12-09,2023-12-26,17A,3223,Credit Card
32,816,6E130,PNQ,COK,2023-11-15,2023-12-14,15C,9292,UPI
33,8,6E651,MAA,DEL,2022-07-17,2022-07-30,1D,4596,Debit Card
34,626,6E666,HYD,BOM,2022-03-08,2022-03-14,18F,8592,Debit Card
35,216,6E775,BOM,DEL,2023-01-19,2023-01-23,13A,9944,Wallet
36,93,6E423,COK,AMD,2024-12-25,2024-12-30,30B,8648,Credit Card
37,403,6E151,AMD,CCU,2023-02-12,2023-03-06,27E,5237,Wallet
38,860,6E243,BOM,PNQ,2022-05-10,2022-05-28,16D,5001,Wallet
39,143,6E131,AMD,PNQ,2023-06-27,2023-07-01,4B,9367,Net Banking
40,814,6E783,PNQ,BOM,2023-02-20,2023-03-02,24E,5194,Credit Card
41,68,6E338,HYD,CCU,2022-09-12,2022-10-03,25B,9988,UPI
42,198,6E453,COK,HYD,2022-04-16,2022-05-04,10F,9802,Debit Card
43,553,6E337,BLR,GOI,2024-12-11,2025-01-03,16B,8785,UPI
44,958,6E299,BOM,MAA,2024-05-30,2024-05-31,17A,8044,Net Banking
45,630,6E143,AMD,PNQ,2022-05-06,2022-05-18,10D,9479,Wallet
46,952,6E964,PNQ,GOI,2024-12-03,2024-12-24,30B,10732,Debit Card
47,967,6E788,BOM,DEL,2023-07-16,2023-08-15,25C,11993,Debit Card
48,499,6E362,HYD,BOM,2022-08-25,2022-09-01,26D,9765,Credit Card
49,576,6E295,MAA,CCU,2023-12-30,2023-12-31,24C,7965,UPI
50,173,6E694,COK,HYD,2023-10-22,2023-10-24,25F,6460,Credit Card
51,231,6E644,BLR,DEL,2023-06-22,2023-07-02,15E,8606,UPI
52,626,6E676,AMD,MAA,2022-12-31,2023-01-21,10E,7958,Wallet
53,359,6E205,COK,PNQ,2024-08-10,2024-09-08,10A,11797,Credit Card
54,117,6E662,COK,CCU,2022-05-13,2022-06-04,16A,6637,Net Banking
55,416,6E186,BOM,MAA,2023-08-14,2023-08-20,15B,11864,Net Banking
56,580,6E720,DEL,AMD,2024-12-23,2025-01-16,15A,11022,Wallet
57,660,6E694,GOI,HYD,2022-12-05,2022-12-22,13F,3849,Credit Card
58,20,6E388,GOI,PNQ,2023-01-16,2023-01-18,10A,5938,Net Banking
59,749,6E390,AMD,DEL,2022-05-09,2022-06-08,1D,4322,UPI
60,236,6E471,BLR,GOI,2023-04-30,2023-05-10,20F,7003,Net Banking
61,957,6E965,PNQ,CCU,2023-11-14,2023-12-12,3B,10790,UPI
62,818,6E892,COK,HYD,2022-12-31,2023-01-05,11C,7447,Debit Card
63,594,6E193,MAA,GOI,2024-03-08,2024-03-20,13A,6683,Credit Card
64,449,6E892,HYD,BOM,2022-06-29,2022-07-09,25A,4527,Credit Card
65,646,6E657,AMD,GOI,2022-08-14,2022-08-24,23E,4854,Debit Card
66,504,6E655,GOI,BOM,2024-10-29,2024-11-13,29F,11230,Debit Card
67,943,6E982,DEL,PNQ,2023-06-25,2023-07-14,4A,4592,Debit Card
68,696,6E646,CCU,BLR,2022-06-18,2022-07-08,14C,8667,Credit Card
69,174,6E544,AMD,MAA,2023-08-01,2023-08-31,9C,3219,UPI
70,497,6E777,MAA,DEL,2022-11-28,2022-12-12,8A,5661,Debit Card
71,699,6E248,COK,DEL,2024-02-04,2024-02-11,5E,11256,UPI
72,66,6E484,BOM,MAA,2023-10-20,2023-10-26,23E,4868,Debit Card
73,320,6E918,CCU,DEL,2024-12-30,2025-01-27,17C,6748,Wallet
74,872,6E779,GOI,PNQ,2024-07-04,2024-07-10,12D,2802,UPI
75,864,6E897,COK,PNQ,2023-01-18,2023-01-26,18A,8351,Wallet
76,929,6E362,PNQ,AMD,2022-10-31,2022-11-07,10F,7752,UPI
77,658,6E230,BOM,BLR,2022-12-31,2023-01-11,6D,8686,Credit Card
78,738,6E813,GOI,CCU,2022-04-28,2022-05-22,22E,8738,Net Banking
79,558,6E533,HYD,COK,2022-05-10,2022-05-15,12E,6119,Debit Card
80,480,6E158,HYD,DEL,2022-11-03,2022-11-14,7E,10213,UPI
81,472,6E658,MAA,COK,2023-02-15,2023-03-09,1E,2641,Net Banking
82,621,6E707,COK,AMD,2024-03-01,2024-03-10,24F,10985,Wallet
83,678,6E744,DEL,AMD,2022-04-14,2022-05-09,20D,4103,UPI
84,217,6E270,AMD,HYD,2023-02-07,2023-02-28,29B,2970,Net Banking
85,796,6E331,MAA,CCU,2023-07-15,2023-08-05,8E,7176,Credit Card
86,85,6E362,COK,PNQ,2022-09-19,2022-10-16,18B,7960,Net Banking
87,46,6E811,DEL,PNQ,2022-06-23,2022-07-07,25E,4989,UPI
88,572,6E544,BLR,GOI,2022-09-02,2022-09-20,23B,8179,Wallet
89,620,6E874,BLR,PNQ,2024-09-14,2024-10-02,18E,11059,Credit Card
90,547,6E220,COK,DEL,2024-03-06,2024-04-03,6E,6916,Wallet
91,263,6E945,MAA,BOM,2022-02-25,2022-03-25,13B,7205,Debit Card
92,472,6E645,CCU,PNQ,2023-08-20,2023-09-14,12D,10297,Wallet
93,626,6E379,AMD,CCU,2024-11-29,2024-12-27,12C,9083,Debit Card
94,602,6E353,CCU,AMD,2023-07-02,2023-07-24,23F,2856,Wallet
95,830,6E987,AMD,COK,2024-03-22,2024-04-14,24D,6264,Net Banking
96,664,6E148,CCU,DEL,2023-04-26,2023-04-29,4C,6152,Wallet
97,375,6E311,AMD,COK,2022-08-20,2022-09-03,21E,3741,Credit Card
98,193,6E833,COK,GOI,2022-09-21,2022-10-21,19A,10401,Net Banking
99,212,6E945,COK,BLR,2024-05-27,2024-06-20,26E,8119,Wallet
100,617,6E851,DEL,PNQ,2023-12-09,2023-12-19,12B,7683,UPI
101,623,6E662,DEL,HYD,2024-01-06,2024-01-10,14E,9147,Net Banking
102,595,6E136,MAA,HYD,2022-04-26,2022-05-11,21D,8375,Debit Card
103,285,6E886,CCU,GOI,2024-05-07,2024-05-31,16C,8827,UPI
104,647,6E540,BLR,GOI,2024-02-07,2024-02-09,25E,3795,Wallet
105,308,6E123,BLR,GOI,2023-06-05,2023-07-05,10A,11661,Credit Card
106,810,6E912,BLR,DEL,2022-07-26,2022-08-24,20D,9361,Wallet
107,627,6E377,DEL,MAA,2024-01-14,2024-01-21,20D,11133,UPI
108,857,6E580,MAA,CCU,2022-01-15,2022-02-14,22E,8402,Credit Card
109,263,6E709,DEL,PNQ,2024-11-17,2024-11-30,21A,7848,UPI
110,20,6E324,BOM,PNQ,2024-05-19,2024-06-15,5A,8388,Wallet
111,505,6E925,DEL,HYD,2024-12-25,2025-01-11,6C,6713,Debit Card
112,844,6E749,CCU,BOM,2022-09-19,2022-09-23,27C,3796,Net Banking
113,931,6E413,COK,BOM,2022-09-30,2022-10-29,29A,10939,Debit Card
114,552,6E394,PNQ,COK,2024-02-24,2024-03-10,25C,6136,Net Banking
115,875,6E666,PNQ,MAA,2022-07-18,2022-08-16,12F,7148,Wallet
116,675,6E381,COK,MAA,2022-03-25,2022-03-29,1D,6741,Wallet
117,887,6E973,CCU,HYD,2022-01-23,2022-02-01,30C,9938,Debit Card
118,631,6E535,AMD,DEL,2024-02-10,2024-03-05,15B,7428,Wallet
119,507,6E980,DEL,CCU,2023-05-10,2023-05-30,26B,7524,Net Banking
120,834,6E347,HYD,MAA,2024-07-17,2024-07-19,4A,9011,Debit Card
121,796,6E122,CCU,BOM,2024-07-29,2024-08-02,16B,8300,Debit Card
122,866,6E913,HYD,COK,2024-02-19,2024-02-24,11E,5332,Debit Card
123,878,6E705,PNQ,DEL,2022-05-07,2022-05-16,24C,7070,UPI
124,993,6E820,HYD,MAA,2022-11-02,2022-11-21,30C,11628,Wallet
125,694,6E931,DEL,COK,2023-12-15,2023-12-29,8C,5047,Net Banking
126,211,6E728,AMD,CCU,2023-08-05,2023-08-22,12F,10398,Credit Card
127,397,6E187,BLR,AMD,2024-04-23,2024-04-26,3A,6530,Credit Card
128,656,6E529,HYD,GOI,2024-10-09,2024-10-31,29C,8571,Credit Card
129,350,6E155,DEL,PNQ,2022-04-10,2022-05-10,13D,9065,UPI
130,487,6E727,DEL,MAA,2024-09-07,2024-09-20,5C,10093,Wallet
